date,_id,date,code,close,vol,amount,delta,insert_time,ma5,ma20,ma60,macd,signal,rsi,volatility,vol_change,target_1,target_2,target_3,target_4,target_5
2017-01-05,68505d6d34a7c6e6d373adc1,2017-01-05,510500,5.661,83786,56063658.0,-0.05,2025-06-17 02:07:41.174,5.6012,5.595350000000001,5.730933333333334,-0.0347537347424014,-0.05015457250825565,67.06948640483378,0.0737879429603117,-0.4838252598246684,-0.0048,0.008,-0.0039,-0.0083,-0.0125
2017-01-06,68505d6d34a7c6e6d373adc2,2017-01-06,510500,5.634,62261,41522993.0,-0.48,2025-06-17 02:07:41.174,5.619,5.5877,5.729066666666666,-0.029904821895513578,-0.04610462238570724,57.63239875389417,0.05940148855124404,-0.2569044947843315,0.008,-0.0039,-0.0083,-0.0125,-0.0114
2017-01-09,68505d6d34a7c6e6d373adc3,2017-01-09,510500,5.679,59916,40070875.0,0.8,2025-06-17 02:07:41.174,5.646199999999999,5.5831,5.72815,-0.022175276822931522,-0.0413187532731521,62.43093922651937,0.04665427153680386,-0.037664027240166376,-0.0039,-0.0083,-0.0125,-0.0114,-0.0294
2017-01-10,68505d6d34a7c6e6d373adc4,2017-01-10,510500,5.657,81877,54885189.0,-0.39,2025-06-17 02:07:41.174,5.659,5.5893999999999995,5.727616666666666,-0.01762164148888079,-0.036579330916297836,62.77777777777777,0.047743172562305994,0.36652980839842453,-0.0083,-0.0125,-0.0114,-0.0294,0.009
2017-01-11,68505d6d34a7c6e6d373adc5,2017-01-11,510500,5.61,89530,59598340.0,-0.83,2025-06-17 02:07:41.174,5.6482,5.5925,5.72485,-0.01760244979993697,-0.03278395469302567,49.72222222222225,0.04691930362473384,0.09346947250143511,-0.0125,-0.0114,-0.0294,0.009,0.0007
2017-01-12,68505d6d34a7c6e6d373adc6,2017-01-12,510500,5.54,140763,92668136.0,-1.25,2025-06-17 02:07:41.174,5.6240000000000006,5.59385,5.72135,-0.022970861441932833,-0.030821336042807103,42.51781472684087,0.0448544722877098,0.5722439405785771,-0.0114,-0.0294,0.009,0.0007,-0.0035
2017-01-13,68505d6d34a7c6e6d373adc7,2017-01-13,510500,5.477,205578,134042463.0,-1.14,2025-06-17 02:07:41.174,5.5926,5.5903,5.716733333333334,-0.031940746786038865,-0.031045218191453457,40.4063205417607,0.05105528479267837,0.46045480701604835,-0.0294,0.009,0.0007,-0.0035,0.0131
2017-01-16,68505d6d34a7c6e6d373adc8,2017-01-16,510500,5.316,214418,135625651.0,-2.94,2025-06-17 02:07:41.174,5.5200000000000005,5.57685,5.709583333333334,-0.05144774246263406,-0.03512572304568958,29.40199335548168,0.07984213041666541,0.043000710192725,0.009,0.0007,-0.0035,0.0131,0.01
2017-01-17,68505d6d34a7c6e6d373adc9,2017-01-17,510500,5.364,141414,88987865.0,0.9,2025-06-17 02:07:41.174,5.4614,5.565600000000001,5.702466666666667,-0.0623156422951503,-0.040563706895581725,33.489827856025,0.09283454438718865,-0.34047514667611856,0.0007,-0.0035,0.0131,0.01,-0.0044
2017-01-18,68505d6d34a7c6e6d373adca,2017-01-18,510500,5.368,301668,191974280.0,0.07,2025-06-17 02:07:41.174,5.413,5.55575,5.695049999999999,-0.06980114054233333,-0.04641119362493205,35.38961038961041,0.10281607236633726,1.1332258475115617,-0.0035,0.0131,0.01,-0.0044,0.004
